Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-02-28,271.65,276.19,271.29,275.68,121907767
2018-03-01,267.7,273.17,266,271.41,176855077
2018-03-02,269.08,269.72,264.82,265.8,139083217
2018-03-05,272.19,272.89,267.61,267.73,97307387
2018-03-06,272.88,273.39,271.18,273.3,79213163
2018-03-07,272.78,273.18,270.2,270.42,87063502
2018-03-08,274.1,274.24,272.42,273.55,66901150
2018-03-09,278.87,278.87,275.34,275.7,113625335
2018-03-12,278.52,279.91,278.0801,279.2,71924793
2018-03-13,276.72,280.41,276.03,279.84,91968937
2018-03-14,275.3,278.02,274.67,277.81,105895079
2018-03-15,275,276.61,274.43,275.88,83433038
2018-03-16,274.2,275.39,274.14,274.5,100343673
2018-03-19,270.49,274.3957,268.62,273.35,109208442
2018-03-20,270.95,271.67,270.18,270.94,59757271
2018-03-21,270.43,273.27,270.19,270.9,78709578
2018-03-22,263.67,268.87,263.36,267.91,148785916
2018-03-23,258.05,265.02,257.83,264.17,183534751
2018-03-26,265.11,265.43,259.41,262.13,141956102
2018-03-27,260.6,266.77,258.84,266.17,129941445
2018-03-28,259.83,262.64,258.58,260.75,146452306
2018-03-29,263.15,265.26,259.8389,261.12,124244790
2018-03-30,263.15,265.26,259.8389,261.12,124244790
2018-04-02,257.47,263.13,254.67,262.55,186286343
2018-04-03,260.77,261.31,256.84,258.87,119956861
2018-04-04,263.56,264.355,256.6,256.75,123715339
2018-04-05,265.64,266.64,264.32,265.55,82652618
2018-04-06,259.72,265.11,258,263.42,179521209
2018-04-09,261,264.84,259.9356,261.37,105442932
2018-04-10,265.15,266.04,262.98,264.27,105573736
2018-04-11,263.76,265.64,263.39,263.47,91140243
2018-04-12,265.93,267,265.06,265.26,68890480
2018-04-13,265.15,267.54,264.01,267.41,85079176
2018-04-16,267.33,268.2,266.07,267,63405287
2018-04-17,270.19,270.87,268.75,269.33,64682036
2018-04-18,270.39,271.3,269.87,270.69,57303857
2018-04-19,268.89,269.88,267.72,269.65,77655909
2018-04-20,266.61,269.06,265.61,268.81,99953133
2018-04-23,266.57,267.89,265.35,267.26,65557954
2018-04-24,262.98,267.9762,261.28,267.73,112885452
2018-04-25,263.63,264.13,260.85,262.91,103840948
2018-04-26,266.31,267.2452,264.29,264.79,67731942
2018-04-27,266.56,267.34,265.5,267,57053647
2018-04-30,264.51,267.89,264.43,267.26,82182324
2018-05-01,264.98,265.1,262.11,263.87,74203365
2018-05-02,263.2,265.68,262.76,264.76,86368943
2018-05-03,262.62,263.36,259.05,262.26,136311479
2018-05-04,266.02,266.7892,261.15,261.52,91222075
2018-05-07,266.92,268.02,266.11,266.89,55304907
2018-05-08,266.92,267.325,265.15,266.5,67499247
2018-05-09,269.5,269.865,267.09,267.68,59666143
2018-05-10,272.02,272.39,270.22,270.34,72063931
2018-05-11,272.85,273.15,271.58,272.16,59871511
2018-05-14,272.98,274.08,272.36,273.34,54790606
2018-05-15,271.1,271.61,270.03,271.59,87036136
2018-05-16,272.24,272.76,271.11,271.14,53942631
