Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2018-09-27,328.759,330.18,327.836,330.18
2018-09-28,328.009,331.134,327.696,330.641
2018-10-01,323.459,326.196,323.142,326.169
2018-10-02,323.507,325.02,323.041,324.673
2018-10-03,316.983,322.293,316.367,322.293
2018-10-04,324.644,324.772,314.609,314.609
2018-10-05,327.435,327.435,322.869,323.144
2018-10-08,327.435,327.435,322.869,323.144
2018-10-09,337.099,337.336,328.621,328.621
2018-10-10,352.815,352.815,335.451,335.564
2018-10-11,353.01,354.239,350.474,352.339
2018-10-12,347.845,350.975,346.301,350.975
2018-10-15,348.52,349.432,347.289,347.942
2018-10-16,342.533,346.758,342.533,346.432
2018-10-17,340.097,344.568,340.097,342.755
2018-10-18,347.186,347.895,340.001,340.118
2018-10-19,346.479,347.428,344.795,345.909
2018-10-22,349.081,349.107,346.097,346.28
2018-10-23,359.132,363.937,355.133,355.133
2018-10-24,368.445,368.445,359.38,359.867
2018-10-25,368.871,368.871,364.452,365.076
2018-10-26,380.292,381.247,372.878,373.29
2018-10-29,381.406,382.481,375.271,377.412
2018-10-30,382.145,384.431,378.759,379.033
2018-10-31,375.792,379.877,374.997,379.877
2018-11-01,375.621,375.621,374.253,374.841
2018-11-02,363.838,371.275,363.838,371.034
2018-11-05,364.234,365.789,363.85,364.332
2018-11-06,360.579,365.216,360.494,365.181
2018-11-07,352.607,360.298,352.582,360.298
2018-11-08,352.769,355.918,352.033,354.877
2018-11-09,364.238,364.238,355.181,355.181
2018-11-12,364.238,364.238,355.181,355.181
2018-11-13,382.515,382.524,367.5,367.5
2018-11-14,392.906,393.78,381.752,381.778
2018-11-15,401.917,405.209,394.364,394.364
2018-11-16,413.779,413.779,403.285,403.285
2018-11-19,418.647,419.202,411.223,411.667
2018-11-20,424.766,425.331,420.856,420.856
2018-11-21,418.129,422.256,416.58,421.255
2018-11-22,418.129,422.256,416.58,421.255
2018-11-23,423.917,424.149,419.607,419.607
2018-11-26,421.935,422.323,418.391,420.077
2018-11-27,425.887,427.301,422.741,422.741
2018-11-28,419.861,426.008,419.778,425.182
2018-11-29,420.171,423.366,420.171,423.032
2018-11-30,423.402,442.854,421.814,422.011
2018-12-03,412.385,414.504,411.462,414.504
2018-12-04,423.981,423.981,413.413,413.743
2018-12-05,423.981,423.981,413.413,413.743
2018-12-06,437.75,443.173,428.368,428.368
2018-12-07,440.738,443.098,435.049,437.227
2018-12-10,447.188,448.557,440.565,441.185
2018-12-11,441.167,443.727,439.71,442.172
2018-12-12,433.126,438.152,432.699,438.152
2018-12-13,433.199,434.05,431.023,434.05
2018-12-14,439.944,440.105,435.902,436.722
2018-12-17,451.083,451.258,439.899,439.899
2018-12-18,464.314,464.314,454.546,454.575
2018-12-19,480.33,480.33,466.003,466.003
