Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2017-03-30,12.825,13.15,12.75,12.95,80542
2017-03-31,13.275,13.3,12.8,12.85,82994
2017-04-03,13.475,14.05,13.05,13.3,125277
2017-04-04,13.225,13.75,13.1,13.5,85457
2017-04-05,13.875,13.95,12.85,13.23,112892
2017-04-06,13.575,14,13.1,13.88,110037
2017-04-07,14.025,14.25,13.47,13.55,153606
2017-04-10,15.025,15.05,13.75,14.05,137449
2017-04-11,15.975,16.45,14.9,15,193738
2017-04-12,16.275,16.5,15.75,16,127637
2017-04-13,16.325,16.65,15.67,16.3,121362
2017-04-14,16.325,16.65,15.67,16.3,121362
2017-04-17,15.075,16.5,15.05,16.3,66840
2017-04-18,14.725,15.7,14.65,15.05,95583
2017-04-19,14.3,14.85,14.15,14.75,4871
2017-04-20,14.325,14.7,14.1,14.55,128508
2017-04-21,14.325,14.65,14.15,14.3,120008
2017-04-24,12.675,13.8,12.6,13.75,205374
2017-04-25,12.475,12.85,12.23,12.65,116455
2017-04-26,12.375,12.7,12.3,12.45,113096
2017-04-27,12.375,12.5,12.25,12.4,78951
2017-04-28,12.275,12.5,12.2,12.37,94490
2017-05-01,11.825,12.35,11.65,12.2,92350
2017-05-02,11.825,12.05,11.7,11.8,89674
2017-05-03,12.075,12.2,11.83,11.85,88112
2017-05-04,11.725,12.3,11.65,12.09,124654
2017-05-05,11.775,11.95,11.6,11.75,95394
2017-05-08,11.425,11.8,11.3,11.7,86820
2017-05-09,11.425,11.55,11.1,11.45,111923
2017-05-10,11.525,11.56,11.3,11.45,72093
2017-05-11,11.425,12.1,11.35,11.5,125169
2017-05-12,11.225,11.75,11.215,11.45,89206
2017-05-15,10.825,11.3,10.815,11.25,88123
2017-05-16,11.075,11.15,10.5,10.85,100264
2017-05-17,12.2,12.35,11,11.1,12383
2017-05-18,14.275,14.7,13.5,14.25,296890
2017-05-19,12.725,14.24,12.65,14.2,237934
