Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2019-11-26,1.7414,1.7774,1.7294,1.7603
2019-11-27,1.7654,1.7757,1.7363,1.7448
2019-11-28,1.7654,1.7654,1.7654,1.7654
2019-11-29,1.7758,1.7947,1.7568,1.7757
2019-12-02,1.8189,1.857,1.793,1.793
2019-12-03,1.7157,1.8449,1.6917,1.8189
2019-12-04,1.774,1.7896,1.6968,1.7208
2019-12-05,1.8103,1.8207,1.7568,1.7706
2019-12-06,1.8363,1.8624,1.7827,1.8034
2019-12-09,1.819,1.8433,1.8052,1.8416
2019-12-10,1.8416,1.8468,1.7983,1.8173
2019-12-11,1.7914,1.8399,1.7793,1.8364
2019-12-12,1.8922,1.9202,1.7758,1.7931
2019-12-13,1.8226,1.9465,1.8139,1.9447
2019-12-16,1.8713,1.8923,1.8261,1.8313
2019-12-17,1.8801,1.8923,1.8505,1.8696
2019-12-18,1.9169,1.9327,1.8627,1.8836
2019-12-19,1.9204,1.9503,1.8959,1.9134
2019-12-20,1.9171,1.9452,1.9099,1.9222
2019-12-23,1.9294,1.9382,1.8925,1.9188
2019-12-24,1.8996,1.9471,1.8979,1.9241
2019-12-25,1.8996,1.8996,1.8996,1.8996
2019-12-26,1.8944,1.919,1.8909,1.9049
2019-12-27,1.8752,1.8998,1.8682,1.8962
2019-12-30,1.8788,1.9385,1.87,1.8717
2019-12-31,1.9175,1.928,1.8823,1.8876
2020-01-01,1.9175,1.9175,1.9175,1.9175
2020-01-02,1.8771,1.944,1.8491,1.9122
2020-01-03,1.7881,1.8404,1.7846,1.8404
2020-01-06,1.809,1.8142,1.7586,1.7655
2020-01-07,1.8177,1.8265,1.7933,1.809
2020-01-08,1.8738,1.8755,1.7032,1.7638
2020-01-09,1.8545,1.8984,1.8475,1.8685
2020-01-10,1.8196,1.8669,1.8143,1.8545
2020-01-13,1.8459,1.8564,1.8248,1.8266
2020-01-14,1.8109,1.8616,1.8091,1.8476
2020-01-15,1.783,1.8161,1.7777,1.8039
2020-01-16,1.8074,1.8179,1.7743,1.7864
2020-01-17,1.8215,1.8478,1.811,1.8231
2020-01-20,1.8215,1.8215,1.8215,1.8215
2020-01-21,1.7743,1.8232,1.7638,1.8215
2020-01-22,1.7691,1.7917,1.7569,1.7813
2020-01-23,1.7325,1.7638,1.7117,1.7603
2020-01-24,1.6839,1.7604,1.6684,1.7377
2020-01-27,1.608,1.6528,1.596,1.627
2020-01-28,1.6562,1.6614,1.5685,1.6097
2020-01-29,1.5839,1.6649,1.5771,1.6476
2020-01-30,1.5856,1.5925,1.5325,1.5839
2020-01-31,1.5068,1.5976,1.5017,1.5787
2020-02-03,1.5272,1.5734,1.5085,1.5119
2020-02-04,1.5991,1.6163,1.5153,1.517
2020-02-05,1.6508,1.6595,1.5733,1.6008
2020-02-06,1.6422,1.682,1.6318,1.6474
