Start Date,9/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,10/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY US Equity,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,VIX Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,UX1 Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USGG10YR Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USOHHYTO Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime
Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2/4/2019,271.96,272.03,269.36,270.11,60744844,,2/4/2019,15.73,16.73,15.6,16.72,#N/A N/A,,2/4/2019,16.525,17.15,16.45,17.05,63355,,2/4/2019,2.7235,2.7325,2.6824,2.6896,0,,2/4/2019,426.167,428.814,425.022,428.814,#N/A N/A
2/5/2019,273.1,273.44,271.88,272.44,79552774,,2/5/2019,15.57,15.94,15.04,15.79,#N/A N/A,,2/5/2019,16.525,16.75,15.95,16.6,64958,,2/5/2019,2.6983,2.7378,2.6858,2.7164,0,,2/5/2019,420.566,425.026,420.01,424.453,#N/A N/A
2/6/2019,272.74,273.34,271.92,272.79,58347791,,2/6/2019,15.38,15.87,15.09,15.44,#N/A N/A,,2/6/2019,16.375,16.72,16.07,16.5,55251,,2/6/2019,2.6946,2.7037,2.6714,2.7037,0,,2/6/2019,418.672,421.304,418.259,421.094,#N/A N/A
2/7/2019,270.14,271.55,268.29,270.94,95481961,,2/7/2019,16.37,17.89,15.51,15.66,#N/A N/A,,2/7/2019,17.175,18,16.33,16.35,105934,,2/7/2019,2.6572,2.6967,2.6483,2.6949,0,,2/7/2019,429.381,429.715,422.54,422.54,#N/A N/A
2/8/2019,270.47,270.58,267.83,268.75,75788861,,2/8/2019,15.72,17.63,15.62,16.81,#N/A N/A,,2/8/2019,16.625,17.75,16.57,17.25,80718,,2/8/2019,2.6339,2.6572,2.6232,2.6536,0,,2/8/2019,434.053,434.633,431.428,432.069,#N/A N/A
2/11/2019,270.62,271.49,270.03,271.2,68021423,,2/11/2019,15.97,16.5,15.34,16.17,#N/A N/A,,2/11/2019,16.225,17,16.05,16.7,54399,,2/11/2019,2.6536,2.668,2.6286,2.6286,0,,2/11/2019,432.369,432.807,431.235,432.186,#N/A N/A
2/12/2019,274.1,274.52,272.34,272.42,72270221,,2/12/2019,15.43,15.65,14.95,15.23,#N/A N/A,,2/12/2019,15.625,16.36,15.4,16.35,57954,,2/12/2019,2.6877,2.6895,2.6518,2.6536,0,,2/12/2019,424.225,428.158,424.209,428.006,#N/A N/A
2/13/2019,274.99,275.93,274.56,275.03,65277204,,2/13/2019,15.65,15.91,15,15.46,#N/A N/A,,2/13/2019,15.6,15.85,15.55,15.7,1374,,2/13/2019,2.7021,2.7129,2.6787,2.6913,0,,2/13/2019,421.551,423.158,420.506,423.158,#N/A N/A
2/14/2019,274.38,275.64,272.87,273.78,83234396,,2/14/2019,16.22,17.27,15.3,15.61,#N/A N/A,,2/14/2019,16.925,17.35,16.58,16.75,100939,,2/14/2019,2.6536,2.7111,2.6411,2.6949,0,,2/14/2019,425.594,427.829,421.784,421.784,#N/A N/A
2/15/2019,277.37,277.41,276.13,276.36,97088659,,2/15/2019,14.91,16.82,14.79,16.82,#N/A N/A,,2/15/2019,16.325,17.45,16.25,16.95,91943,,2/15/2019,2.6626,2.686,2.6429,2.659,0,,2/15/2019,420.447,423.492,420.447,423.492,#N/A N/A
